time,sym,side,price,size
09:04:45.847,HSBC,B,79.95,400
09:04:46.467,APPL,S,120.25,600
09:04:50.306,REYA,B,44.6,400
09:04:54.063,REYA,S,45.25,100
09:04:55.884,GOOG,B,779.8,1000
09:04:56.796,REYA,S,45.5,100
09:04:57.390,GOOG,S,780.4,800
09:04:58.178,HSBC,B,79.6,200
09:05:04.800,GOOG,B,779.75,100
09:05:09.558,GOOG,B,779.55,600
09:05:11.202,GOOG,B,779.6,700
09:05:12.329,HSBC,B,79.55,800
09:05:15.703,GOOG,S,780.05,200
09:05:16.350,FDP,S,5.05,600
09:05:17.618,HSBC,B,79.7,500
09:05:21.081,APPL,B,119.8,900
09:05:28.122,GOOG,B,779.75,600
09:05:28.341,APPL,B,119.6,300
09:05:32.176,REYA,B,44.9,900
09:05:32.552,HSBC,B,79.8,900
09:05:38.911,HSBC,B,79.85,800
09:05:39.830,GOOG,S,780.45,1000
09:05:42.194,APPL,B,119.85,200
09:05:47.743,APPL,B,119.75,400
09:05:49.413,GOOG,S,780.1,900
09:05:50.564,APPL,S,120.4,1000
09:05:56.333,GOOG,B,779.85,500
09:05:56.726,HSBC,S,80.4,600
09:05:57.988,FDP,S,5.4,100
09:05:58.118,APPL,B,119.65,700
09:06:02.036,GOOG,B,779.9,700
09:06:02.936,FDP,B,4.65,500
09:06:03.214,FDP,B,4.8,800
09:06:04.091,HSBC,S,80.2,700
09:06:06.844,FDP,S,5.45,800
09:06:07.282,FDP,B,4.5,1000
09:06:09.481,REYA,B,44.9,800
09:06:11.398,REYA,B,44.75,200
09:06:15.327,HSBC,S,80.25,500
09:06:19.594,GOOG,B,779.9,800
09:06:21.140,GOOG,B,779.85,1000
09:06:21.936,GOOG,B,779.7,900
09:06:21.987,APPL,S,120.25,900
09:06:24.441,APPL,S,120.5,200
09:06:24.501,REYA,B,44.8,300
09:06:26.287,GOOG,B,779.9,900
09:06:27.276,GOOG,B,779.55,200
09:06:29.368,APPL,B,119.8,100
09:06:31.737,FDP,B,4.75,300
09:06:34.627,HSBC,B,79.85,600
09:06:38.979,GOOG,S,780.35,400
09:06:39.592,FDP,B,4.65,700
09:06:43.301,GOOG,S,780.45,700
09:06:43.612,FDP,S,5.2,600
09:06:45.134,REYA,B,44.85,600
09:06:48.964,APPL,S,120.4,800
09:06:49.911,REYA,S,45.35,200
09:06:51.822,REYA,B,44.95,900
09:06:51.838,GOOG,S,780.35,900
09:06:52.116,APPL,S,120.4,200
09:06:52.966,HSBC,B,79.7,700
09:06:54.522,GOOG,S,780.1,800
09:06:57.415,FDP,S,5.35,500
09:06:57.512,GOOG,B,779.65,300
09:06:57.996,APPL,B,119.9,1000
09:06:59.450,APPL,S,120.05,100
09:07:00.924,FDP,S,5.45,400
09:07:01.430,REYA,B,44.6,900
09:07:03.338,FDP,S,5.45,400
09:07:04.277,APPL,S,120.3,500
09:07:04.474,REYA,S,45.15,200
09:07:15.343,APPL,S,120.2,700
09:07:15.958,REYA,B,44.65,100
09:07:17.541,FDP,S,5.45,600
09:07:21.461,HSBC,S,80.4,1000
09:07:24.030,REYA,S,45.05,1000
09:07:24.213,HSBC,B,79.55,900
09:07:25.371,APPL,S,120.4,200
09:07:33.842,APPL,S,120.4,100
09:07:36.778,FDP,S,5.45,900
09:07:38.350,GOOG,S,780.05,900
09:07:38.889,GOOG,S,780.3,600
09:07:48.963,FDP,S,5.4,600
09:07:49.478,FDP,S,5.3,1000
09:07:50.837,APPL,B,119.5,900
09:07:58.854,APPL,B,119.5,900
09:08:05.380,GOOG,S,780.05,400
09:08:06.424,APPL,B,119.85,100
09:08:09.120,GOOG,S,780.3,200
09:08:11.606,HSBC,B,79.6,600
09:08:12.219,FDP,B,4.65,900
09:08:13.369,REYA,B,44.85,700
09:08:13.582,FDP,B,4.8,1000
09:08:20.749,FDP,S,5.1,600
09:08:21.490,APPL,S,120.2,700
09:08:23.894,FDP,S,5.1,400
09:08:24.102,HSBC,B,79.9,600
09:08:27.248,APPL,B,119.75,400
09:08:33.477,APPL,B,119.65,600
09:08:34.986,GOOG,B,779.95,100
09:08:36.434,HSBC,S,80.35,600
09:08:48.610,GOOG,S,780.2,800
09:08:53.450,HSBC,S,80.15,100
09:08:54.264,GOOG,B,779.95,200
09:08:57.290,APPL,B,119.75,200
09:08:59.247,HSBC,S,80.4,1000
09:09:00.348,FDP,S,5.25,300
09:09:04.031,HSBC,S,80.35,700
09:09:04.972,FDP,S,5.5,200
09:09:07.238,APPL,S,120.15,800
09:09:10.638,APPL,B,119.85,100
09:09:11.569,FDP,B,4.95,400
09:09:15.444,FDP,B,4.8,900
09:09:18.026,REYA,S,45.45,200
09:09:18.861,REYA,S,45.4,200
09:09:20.396,HSBC,B,79.6,700
09:09:25.584,APPL,B,119.95,400
09:09:27.532,GOOG,S,780.2,300
09:09:30.257,REYA,S,45.2,900
09:09:39.479,APPL,S,120.5,100
09:09:39.900,GOOG,B,779.65,1000
09:09:42.532,HSBC,B,79.75,800
09:09:43.426,APPL,B,119.85,1000
09:09:44.415,APPL,B,119.7,800
09:09:46.474,GOOG,S,780.15,300
09:09:46.844,REYA,B,44.6,1000
09:09:49.708,APPL,S,120.15,400
09:09:51.691,FDP,B,4.75,200
09:09:52.068,FDP,S,5.4,600
09:09:54.213,FDP,S,5.4,800
09:09:55.725,GOOG,S,780.5,500
09:09:59.300,APPL,B,119.75,700
09:10:01.847,GOOG,S,780.4,200
09:10:02.462,APPL,B,119.95,100
09:10:03.118,APPL,S,120.15,400
09:10:09.676,APPL,S,120.1,300
09:10:18.969,APPL,B,119.9,800
09:10:22.208,REYA,S,45.25,1000
09:10:23.396,GOOG,S,780.05,1000
09:10:25.010,GOOG,B,779.75,100
09:10:27.038,APPL,B,119.65,1000
09:10:29.694,HSBC,S,80.15,300
09:10:29.820,HSBC,B,79.7,1000
09:10:35.402,HSBC,B,79.95,700
09:10:35.930,HSBC,S,80.15,400
09:10:36.457,HSBC,B,79.65,300
09:10:37.804,HSBC,S,80.1,400
09:10:38.939,GOOG,S,780.2,700
09:10:41.278,REYA,S,45.35,300
09:10:49.825,GOOG,S,780.1,100
09:10:53.195,GOOG,B,779.7,300
09:10:53.404,GOOG,B,779.6,1000
09:10:57.433,FDP,S,5.5,400
09:11:01.083,HSBC,S,80.35,300
09:11:01.814,FDP,S,5.3,900
09:11:02.578,APPL,B,119.9,100
09:11:03.335,HSBC,S,80.35,600
09:11:04.653,REYA,S,45.35,300
09:11:06.696,FDP,B,4.7,600
09:11:11.038,REYA,S,45.15,800
09:11:14.355,REYA,S,45.35,900
09:11:14.365,REYA,S,45.3,400
09:11:16.466,REYA,S,45.45,100
09:11:17.604,FDP,S,5.5,400
09:11:22.901,GOOG,S,780.5,300
09:11:23.965,GOOG,B,779.5,200
09:11:24.280,FDP,B,4.8,200
09:11:27.006,HSBC,S,80.1,100
09:11:32.883,HSBC,B,79.75,600
09:11:36.325,FDP,B,4.75,200
09:11:51.897,REYA,B,44.9,300
09:11:54.293,FDP,S,5.1,400
09:11:56.041,APPL,B,119.5,200
09:12:01.494,APPL,B,119.95,1000
09:12:02.241,GOOG,B,779.6,700
09:12:09.768,APPL,S,120.45,700
09:12:11.035,REYA,S,45.3,500
09:12:16.061,HSBC,S,80.5,600
09:12:16.400,APPL,S,120.45,200
09:12:17.690,GOOG,B,779.65,400
09:12:28.087,GOOG,B,779.85,1000
09:12:28.861,HSBC,S,80.4,500
09:12:35.430,FDP,B,4.8,200
09:12:37.801,REYA,S,45.35,800
09:12:38.458,REYA,B,44.5,500
09:12:40.221,HSBC,S,80.2,600
09:12:40.863,APPL,B,119.95,500
09:12:42.341,HSBC,S,80.15,100
09:12:45.264,APPL,S,120.2,300
09:12:47.498,REYA,S,45.3,400
09:12:49.361,HSBC,S,80.3,1000
09:12:49.384,REYA,S,45.2,300
09:12:49.682,GOOG,S,780.45,400
09:12:55.549,APPL,B,119.5,300
09:12:56.296,REYA,S,45.1,100
09:13:00.023,HSBC,B,79.85,600
09:13:09.732,FDP,B,4.7,200
09:13:14.041,REYA,B,44.55,300
09:13:19.139,REYA,B,44.6,400
09:13:20.594,HSBC,S,80.5,600
09:13:21.101,GOOG,S,780.1,500
09:13:21.152,HSBC,S,80.4,100
09:13:22.031,HSBC,B,79.95,300
09:13:22.499,APPL,B,119.5,400
09:13:24.556,HSBC,B,79.9,400
09:13:24.818,APPL,B,119.9,500
09:13:26.505,REYA,B,44.85,100
09:13:31.715,APPL,S,120.15,400
09:13:32.833,REYA,B,44.85,400
09:13:35.065,APPL,B,119.6,800
09:13:38.391,GOOG,B,779.95,1000
09:13:43.580,HSBC,B,79.55,300
09:13:44.934,GOOG,B,779.7,400
09:13:51.912,HSBC,B,79.95,600
09:13:55.275,REYA,S,45.05,400
09:13:57.174,APPL,B,119.85,200
09:13:59.214,GOOG,S,780.4,100
09:14:01.391,APPL,S,120.25,600
09:14:02.381,FDP,S,5.35,1000
09:14:02.862,APPL,S,120.2,900
09:14:08.591,APPL,S,120.4,700
09:14:09.698,GOOG,S,780.4,200
09:14:10.095,GOOG,B,779.6,400
09:14:11.089,REYA,S,45.4,400
09:14:13.038,APPL,S,120.15,800
09:14:17.349,REYA,B,44.65,700
09:14:19.303,GOOG,B,779.65,1000
09:14:19.696,FDP,S,5.05,100
09:14:23.721,HSBC,S,80.4,900
09:14:25.959,APPL,B,119.75,900
09:14:42.472,GOOG,S,780.2,100
09:14:43.502,GOOG,S,780.25,1000
09:14:46.430,APPL,B,119.55,200
09:14:52.147,HSBC,S,80.5,800
09:14:55.069,REYA,B,44.65,300
09:15:03.191,HSBC,S,80.25,800
09:15:03.671,FDP,S,5.1,300
09:15:11.185,GOOG,S,780.15,700
09:15:11.579,GOOG,S,780.3,300
09:15:14.860,GOOG,S,780.05,600
09:15:15.564,REYA,S,45.5,100
09:15:16.637,REYA,S,45.15,1000
09:15:20.791,FDP,B,4.9,700
09:15:21.731,GOOG,S,780.1,200
09:15:23.608,REYA,B,44.75,600
09:15:25.751,GOOG,S,780.2,700
09:15:26.929,HSBC,B,79.85,900
09:15:33.228,REYA,B,44.95,700
09:15:33.608,HSBC,S,80.4,900
09:15:34.150,FDP,S,5.25,900
09:15:35.941,APPL,S,120.5,400
09:15:36.794,GOOG,B,779.7,600
09:15:40.753,HSBC,S,80.25,400
09:15:42.169,GOOG,S,780.35,100
09:15:44.541,FDP,B,4.7,100
09:15:49.148,FDP,S,5.35,400
09:15:50.574,GOOG,S,780.3,400
09:15:54.259,GOOG,S,780.35,300
09:15:56.739,HSBC,B,79.55,100
09:16:13.932,REYA,S,45.1,600
09:16:14.518,HSBC,B,79.9,600
09:16:16.130,APPL,B,119.65,400
09:16:18.230,GOOG,S,780.5,1000
09:16:18.475,GOOG,S,780.5,900
09:16:21.966,FDP,B,4.8,1000
09:16:22.081,REYA,S,45.3,800
09:16:24.067,HSBC,S,80.25,400
09:16:25.460,GOOG,S,780.4,400
09:16:25.529,GOOG,B,779.95,400
09:16:37.196,REYA,B,44.75,700
09:16:38.465,FDP,B,4.75,700
09:16:38.702,APPL,S,120.25,100
09:16:40.555,REYA,S,45.45,700
09:16:41.863,GOOG,S,780.5,400
09:16:42.010,REYA,B,44.9,700
09:16:47.606,APPL,B,119.5,900
09:16:53.626,APPL,S,120.1,400
09:16:57.560,HSBC,S,80.25,900
09:16:58.706,HSBC,B,79.75,300
09:16:58.769,FDP,S,5.35,600
09:17:00.687,REYA,S,45.05,200
09:17:01.828,GOOG,B,779.75,400
09:17:02.101,FDP,B,4.7,400
09:17:03.331,FDP,B,4.5,900
09:17:06.575,REYA,S,45.15,400
09:17:07.681,FDP,S,5.15,400
09:17:09.758,APPL,S,120.1,800
09:17:17.734,FDP,B,4.6,500
09:17:27.217,APPL,B,119.95,900
09:17:28.372,HSBC,S,80.1,300
09:17:30.343,HSBC,B,79.5,700
09:17:36.541,APPL,B,119.55,700
09:17:37.053,GOOG,B,779.7,100
09:17:39.413,APPL,B,119.6,200
09:17:40.793,HSBC,S,80.25,800
09:17:44.737,GOOG,B,779.95,500
09:17:47.665,HSBC,S,80.05,300
09:17:51.111,GOOG,B,779.55,600
09:17:54.775,GOOG,B,779.85,200
09:17:55.960,FDP,B,4.5,400
09:17:56.279,REYA,B,44.8,200
09:17:58.023,REYA,S,45.05,500
09:17:59.236,FDP,S,5.2,600
09:17:59.613,HSBC,S,80.25,100
09:18:02.745,REYA,S,45.35,600
09:18:03.813,GOOG,B,779.8,500
09:18:07.748,APPL,S,120.5,200
09:18:08.768,FDP,B,4.75,1000
09:18:10.980,HSBC,S,80.35,100
09:18:12.798,HSBC,S,80.4,600
09:18:21.770,HSBC,B,79.8,400
09:18:23.521,HSBC,B,79.85,900
09:18:23.690,GOOG,B,779.85,1000
09:18:24.706,HSBC,S,80.15,700
09:18:31.790,FDP,B,4.95,1000
09:18:32.126,REYA,B,44.75,200
09:18:33.643,APPL,S,120.35,500
09:18:35.176,REYA,B,44.6,500
09:18:40.626,HSBC,B,79.85,400
09:18:47.272,APPL,B,119.65,900
09:18:51.735,HSBC,S,80.05,600
09:18:56.950,FDP,S,5.15,900
09:19:04.646,HSBC,B,79.95,900
09:19:04.691,REYA,S,45.5,600
09:19:09.566,FDP,S,5.3,600
09:19:12.335,FDP,B,4.6,500
09:19:20.317,FDP,B,4.6,100
09:19:21.456,FDP,B,4.9,400
09:19:21.522,FDP,S,5.2,400
09:19:21.524,HSBC,B,79.95,800
09:19:21.616,REYA,S,45.05,1000
09:19:21.744,FDP,S,5.25,800
09:19:21.795,GOOG,S,780.2,300
09:19:28.728,HSBC,B,79.6,500
09:19:29.572,REYA,S,45.2,500
09:19:29.808,APPL,B,119.55,1000
09:19:29.820,GOOG,S,780.35,200
09:19:30.119,HSBC,B,79.65,1000
09:19:34.037,HSBC,S,80.3,800
09:19:35.184,HSBC,B,79.55,300
09:19:41.608,APPL,B,119.9,900
09:19:42.375,REYA,B,44.55,300
09:19:44.830,APPL,S,120.45,900
09:19:45.507,APPL,B,119.5,1000
09:19:45.959,APPL,S,120.35,500
09:19:46.869,REYA,B,44.55,600
09:19:49.160,APPL,S,120.35,400
09:19:53.774,APPL,S,120.1,600
09:19:54.409,REYA,B,44.55,400
09:19:54.413,REYA,S,45.35,600
09:19:57.626,REYA,S,45.1,800
09:19:59.194,APPL,B,119.65,300
09:19:59.851,REYA,S,45.05,900
09:20:01.378,GOOG,B,779.9,900
09:20:05.047,APPL,B,119.5,300
09:20:06.981,REYA,S,45.15,100
09:20:08.009,HSBC,S,80.25,300
09:20:10.428,REYA,B,44.9,400
09:20:11.431,FDP,B,4.6,100
09:20:14.080,FDP,B,4.55,300
09:20:14.591,GOOG,S,780.1,800
09:20:17.465,REYA,S,45.5,400
09:20:19.000,REYA,B,44.85,1000
09:20:21.928,GOOG,B,779.5,300
09:20:23.606,APPL,B,119.65,900
09:20:24.882,REYA,B,44.9,400
09:20:25.402,HSBC,B,79.65,100
09:20:25.705,REYA,B,44.65,200
09:20:27.918,APPL,S,120.05,500
09:20:29.923,GOOG,S,780.35,900
09:20:31.215,APPL,S,120.4,1000
09:20:34.964,FDP,B,4.75,700
09:20:38.815,HSBC,B,79.8,200
09:20:39.126,FDP,B,4.5,300
09:20:42.170,GOOG,B,779.65,400
09:20:42.651,FDP,S,5.05,400
09:20:47.983,GOOG,S,780.05,900
09:20:49.677,GOOG,B,779.8,400
09:20:53.004,GOOG,S,780.25,1000
09:20:53.059,FDP,S,5.05,300
09:20:55.666,APPL,B,119.55,600
09:20:55.675,GOOG,B,779.9,600
09:20:57.760,HSBC,B,79.55,1000
09:21:00.240,APPL,S,120.05,400
09:21:04.418,FDP,S,5.15,300
09:21:05.146,REYA,B,44.55,500
09:21:06.859,HSBC,S,80.4,100
09:21:16.854,FDP,B,4.6,200
09:21:20.823,REYA,B,44.7,500
09:21:23.531,HSBC,B,79.9,100
09:21:25.542,REYA,B,44.55,1000
09:21:26.535,REYA,B,44.9,200
09:21:27.239,HSBC,S,80.45,300
09:21:28.395,APPL,S,120.5,900
09:21:28.759,FDP,S,5.5,400
09:21:31.900,REYA,S,45.35,200
09:21:33.290,APPL,S,120.4,200
09:21:39.778,GOOG,B,779.6,300
09:21:40.332,REYA,B,44.95,300
09:21:51.113,APPL,S,120.2,500
09:21:52.467,HSBC,S,80.15,300
09:21:59.879,APPL,S,120.45,400
09:22:02.240,REYA,B,44.7,600
09:22:03.581,HSBC,B,79.55,900
09:22:05.859,HSBC,S,80.35,500
09:22:07.426,FDP,B,4.8,200
09:22:12.636,FDP,S,5.4,100
09:22:15.339,HSBC,S,80.15,700
09:22:21.570,APPL,B,119.85,600
09:22:37.681,FDP,B,4.65,700
09:22:38.258,GOOG,S,780.1,800
09:22:41.034,FDP,B,4.75,400
09:22:41.435,REYA,B,44.5,500
09:22:41.695,REYA,B,44.75,400
09:22:43.825,APPL,S,120.2,900
09:22:44.153,REYA,B,44.55,400
09:22:55.933,FDP,B,4.95,100
09:23:00.165,FDP,B,4.75,800
09:23:01.708,GOOG,S,780.15,1000
09:23:03.157,GOOG,B,779.65,1000
09:23:05.111,GOOG,S,780.45,500
09:23:05.820,REYA,B,44.6,100
09:23:05.908,GOOG,B,779.85,500
09:23:12.692,GOOG,S,780.15,600
09:23:19.182,APPL,B,119.6,800
09:23:20.086,HSBC,B,79.75,700
09:23:20.168,APPL,S,120.45,300
09:23:35.897,FDP,B,4.6,600
09:23:35.970,FDP,S,5.05,300
09:23:39.715,REYA,S,45.15,500
09:23:41.911,HSBC,B,79.5,600
09:23:43.645,FDP,B,4.95,200
09:23:46.011,REYA,S,45.2,400
09:23:48.445,HSBC,S,80.1,200
09:23:50.092,HSBC,B,79.7,500
09:24:11.469,HSBC,S,80.4,1000
09:24:11.656,FDP,B,4.55,700
09:24:11.998,HSBC,S,80.25,400
09:24:12.293,APPL,B,119.8,300
09:24:25.823,HSBC,S,80.1,700
09:24:29.757,FDP,B,4.55,1000
09:24:36.649,REYA,B,44.8,700
09:24:37.260,HSBC,B,79.85,300
09:24:44.101,APPL,B,119.65,600
09:24:44.821,GOOG,S,780.35,100
09:24:45.059,REYA,S,45.45,700
09:24:46.152,APPL,B,119.75,300
09:24:46.655,GOOG,S,780.4,1000
09:24:51.664,HSBC,S,80.25,800
09:24:53.706,GOOG,B,779.5,100
09:24:55.307,REYA,B,44.9,300
09:24:57.142,FDP,S,5.05,800
09:24:57.401,REYA,S,45.05,600
09:25:03.696,GOOG,S,780.2,400
09:25:03.866,GOOG,B,779.65,300
09:25:07.800,REYA,S,45.3,200
09:25:10.613,HSBC,S,80.4,300
09:25:10.921,REYA,B,44.65,200
09:25:14.918,GOOG,S,780.05,800
09:25:18.714,FDP,B,4.95,1000
09:25:22.202,GOOG,S,780.4,800
09:25:26.020,APPL,B,119.8,100
09:25:33.506,REYA,S,45.05,400
09:25:37.460,REYA,B,44.95,700
09:25:38.901,HSBC,B,79.55,400
09:25:41.069,GOOG,S,780.1,200
09:25:41.710,GOOG,B,779.7,500
09:25:43.945,GOOG,B,779.55,900
09:25:46.837,APPL,S,120.5,400
09:25:51.522,HSBC,S,80.25,1000
09:25:51.858,GOOG,S,780.3,500
09:25:54.702,HSBC,S,80.15,500
09:25:55.935,REYA,S,45.35,700
09:25:57.692,HSBC,B,79.65,900
09:25:57.881,APPL,S,120.3,100
09:25:59.064,HSBC,B,79.5,300
09:26:04.791,REYA,B,44.8,400
09:26:05.820,HSBC,B,79.9,100
09:26:09.505,HSBC,S,80.45,600
09:26:17.879,APPL,S,120.15,300
09:26:22.168,HSBC,S,80.3,200
09:26:23.962,FDP,S,5.3,300
09:26:27.985,REYA,S,45.2,700
09:26:28.217,HSBC,S,80.45,200
09:26:28.711,REYA,S,45.1,300
09:26:30.309,REYA,S,45.2,800
09:26:30.888,FDP,S,5.3,300
09:26:33.246,HSBC,B,79.8,400
09:26:35.019,GOOG,S,780.15,600
09:26:35.762,FDP,S,5.3,400
09:26:36.827,GOOG,S,780.45,100
09:26:42.527,REYA,S,45.3,500
09:26:42.612,GOOG,S,780.5,1000
09:26:46.717,FDP,B,4.7,1000
09:26:47.170,REYA,S,45.1,900
09:26:50.192,REYA,S,45.15,800
09:26:53.007,APPL,B,119.55,100
09:26:54.965,HSBC,B,79.95,200
09:26:56.295,FDP,S,5.2,800
09:26:57.092,GOOG,B,779.75,700
09:26:58.087,FDP,B,4.85,500
09:27:03.172,FDP,S,5.05,800
09:27:07.019,APPL,S,120.1,300
09:27:08.069,FDP,S,5.4,600
09:27:09.302,REYA,B,44.8,200
09:27:09.886,REYA,B,44.65,800
09:27:12.924,APPL,S,120.4,900
09:27:16.622,GOOG,B,779.7,600
09:27:24.901,APPL,S,120.35,200
09:27:28.472,FDP,S,5.4,700
09:27:32.720,GOOG,B,779.55,300
09:27:36.665,APPL,S,120.25,400
09:27:41.541,APPL,B,119.9,900
09:27:47.463,HSBC,B,79.7,1000
09:27:50.759,HSBC,B,79.75,100
09:27:51.608,FDP,S,5.1,200
09:27:55.782,HSBC,S,80.05,100
09:27:56.952,HSBC,S,80.05,1000
09:27:58.569,HSBC,S,80.15,200
09:28:00.101,HSBC,B,79.55,400
09:28:01.450,APPL,B,119.95,400
09:28:02.060,FDP,B,4.7,600
09:28:03.376,HSBC,S,80.1,1000
09:28:10.780,FDP,S,5.2,100
09:28:13.902,HSBC,S,80.05,600
09:28:17.346,REYA,B,44.65,1000
09:28:17.505,REYA,B,44.85,200
09:28:21.128,REYA,B,44.85,800
09:28:21.221,REYA,B,44.85,600
09:28:30.763,REYA,S,45.1,300
09:28:35.364,FDP,B,4.5,900
09:28:37.417,HSBC,B,79.85,400
09:28:39.808,REYA,S,45.1,100
09:28:50.696,HSBC,B,79.5,500
09:28:51.939,HSBC,S,80.4,100
09:28:52.135,HSBC,B,79.65,800
09:28:55.352,REYA,S,45.3,900
09:28:56.837,APPL,S,120.2,700
09:28:57.684,HSBC,S,80.35,600
09:28:58.003,FDP,B,4.75,1000
09:29:03.151,REYA,B,44.95,800
09:29:07.629,APPL,S,120.1,700
09:29:08.691,HSBC,B,79.85,1000
09:29:09.049,GOOG,B,779.8,1000
09:29:10.859,GOOG,S,780.05,100
09:29:19.330,GOOG,S,780.35,1000
09:29:19.560,APPL,B,119.5,700
09:29:22.763,FDP,B,4.7,800
09:29:25.832,HSBC,B,79.95,600
09:29:26.266,GOOG,B,779.7,300
09:29:28.689,REYA,B,44.65,200
09:29:30.767,HSBC,B,79.85,800
09:29:31.858,HSBC,S,80.1,700
09:29:32.868,APPL,B,119.95,300
09:29:34.198,HSBC,S,80.2,100
09:29:38.219,HSBC,S,80.15,800
09:29:38.897,FDP,S,5.45,500
09:29:43.126,HSBC,B,79.6,300
09:29:44.063,APPL,S,120.5,700
09:29:45.144,APPL,S,120.25,400
09:29:48.032,HSBC,S,80.5,200
09:29:50.254,REYA,B,44.9,400
09:29:51.507,APPL,B,119.85,1000
09:29:53.848,GOOG,S,780.3,1000
09:29:54.145,HSBC,S,80.45,500
09:29:54.563,FDP,S,5.2,200
09:29:55.115,HSBC,S,80.3,200
09:29:59.706,GOOG,B,779.95,200
